debate_id,speaker,text,check_worthy,spans,error
20200929_trump_biden,TRUMP,"There aren't a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We're not elected for three years. I'm not elected for three years. So we have the Senate, we have a President-",True,"[{""start"": 0, ""end"": 66, ""text"": ""There aren't a hundred million people with pre-existing conditions"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""medical""]}]",
20200929_trump_biden,BIDEN,He's elected to the next election.,False,[],
20200929_trump_biden,TRUMP,"During that period of time, during that period of time, we have an opening. I'm not elected for three years. I'm elected for four years. Joe, the hundred million people is totally wrong. I don't know where you got that number. The bigger problem that you have is that you're going to extinguish 180million people with their private health care, that they're very happy with.",True,"[{""start"": 142, ""end"": 185, ""text"": ""the hundred million people is totally wrong"", ""reason_text"": """", ""reason_choices"": [""numerical absolute""]}, {""start"": 295, ""end"": 343, ""text"": ""180million people with their private health care"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""medical""]}]",
20200929_trump_biden,BIDEN,That's simply not true.,False,[],
20200929_trump_biden,TRUMP,"Well, you're certainly going to socialist. You're going to socialist medicine-",False,[],
20200929_trump_biden,WALLACE,"Gentlemen, we're now into open discussion.",False,[],
20200929_trump_biden,BIDEN,Open discussion.,False,[],
20200929_trump_biden,WALLACE,"Open discussion, yes, I agree. Go ahead, Vice President.",False,[],
20200929_trump_biden,BIDEN,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal.",False,[],
20200929_trump_biden,TRUMP,That's not what you've said and it's not what your party is saying.,False,[],
20200929_trump_biden,BIDEN,That is simply a lie.,False,[],
20200929_trump_biden,TRUMP,Your party doesn't say it. Your party wants to go socialist medicine and socialist healthcare.,False,[],
20200929_trump_biden,BIDEN,"The party is me. Right now, I am the Democratic Party.",False,[],
20200929_trump_biden,TRUMP,"And they're going to dominate you, Joe. You know that.",False,[],
20200929_trump_biden,BIDEN,I am the Democratic Party right now.,False,[],
20200929_trump_biden,TRUMP,Not according to Harris.,False,[],
20200929_trump_biden,BIDEN,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here's the deal. The deal is that it's going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there's seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?",True,"[{""start"": 198, ""end"": 240, ""text"": ""200,000 people that have died on his watch"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""medical""]}, {""start"": 281, ""end"": 331, ""text"": ""there's seven million people that contracted COVID"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""medical""]}]",
20200929_trump_biden,TRUMP,"Joe, you've had 308,000 military people dying because you couldn't provide them proper healthcare in the military. So don't tell me about this.",True,"[{""start"": 16, ""end"": 45, ""text"": ""308,000 military people dying"", ""reason_text"": """", ""reason_choices"": [""numerical absolute""]}, {""start"": 46, ""end"": 113, ""text"": ""because you couldn't provide them proper healthcare in the military"", ""reason_text"": """", ""reason_choices"": [""causation"", ""medical""]}]",
20200929_trump_biden,BIDEN,I'm happy to talk about this.,False,[],
20200929_trump_biden,TRUMP,"And if you were here, it wouldn't be 200, it would be two million people because you were very late on the draw. You didn't want me to ban China, which was heavily infected. You didn't want me to ban Europe.",True,"[{""start"": 139, ""end"": 172, ""text"": ""China, which was heavily infected"", ""reason_text"": """", ""reason_choices"": [""medical""]}]",
20200929_trump_biden,WALLACE,"All right, gentlemen, Mr. President.",False,[],
20200929_trump_biden,TRUMP,"You would have been much later, Joe, much later.",False,[],
20200929_trump_biden,WALLACE,Mr. President.,False,[],
20200929_trump_biden,TRUMP,We're talking about two million people.,False,[],
20200929_trump_biden,BIDEN,You're not going to be able to shut him up.,False,[],
20200929_trump_biden,WALLACE,"Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead.",False,[],
20200929_trump_biden,BIDEN,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That's on the ballot as well and the court, in the court, and so that's also at stake right now. And so the election is all-",False,[],
20200929_trump_biden,TRUMP,You don't know what's on the ballot. Why is it on the ballot? Why is it on the ballot? It's not on the ballot.,False,[],
20200929_trump_biden,BIDEN,It's on the ballot in the court.,False,[],
20200929_trump_biden,TRUMP,I don't think so.,False,[],
20200929_trump_biden,BIDEN,In the court.,False,[],
20200929_trump_biden,TRUMP,There's nothing happening there.,False,[],
20200929_trump_biden,BIDEN,Donald would you just be quiet for a minute.,False,[],
20200929_trump_biden,TRUMP,You don't know her view on Roe V. Wade? You don't know here view.,False,[],
20200929_trump_biden,WALLACE,"Well, all right. All right. Let's talk. We've got a lot to unpack here, gentlemen. We've got a lot of time. On healthcare, and then we'll come back to Roe V. Wade.",False,[],
20200929_trump_biden,BIDEN,All right.,False,[],
20200929_trump_biden,WALLACE,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare.",False,[],
20200929_trump_biden,TRUMP,That's right.,False,[],
20200929_trump_biden,WALLACE,You have spent the last week-,False,[],
20200929_trump_biden,TRUMP,Because they want to give good healthcare.,False,[],
20200929_trump_biden,WALLACE,"If I may ask my question, sir.",False,[],
20200929_trump_biden,BIDEN,Good healthcare.,False,[],
20200929_trump_biden,WALLACE,"Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare.",False,[],
20200929_trump_biden,TRUMP,"Yes, I have. Of course, I have. The individual mandate.",False,[],
20200929_trump_biden,WALLACE,[crosstalk] when I finish I'm going to give an opportunity-,False,[],
20200929_trump_biden,TRUMP,"Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare.",False,[],
20200929_trump_biden,WALLACE,That's not a comprehensive place.,False,[],
20200929_trump_biden,TRUMP,That is absolutely a big thing. That was the worst part of Obamacare.,False,[],
20200929_trump_biden,WALLACE,"I didn't ask, sir.",False,[],
20200929_trump_biden,TRUMP,"Chris, that was the worst part of Obamacare.",False,[],
20200929_trump_biden,WALLACE,You're debating him not me. Let me ask my question.,False,[],
20200929_trump_biden,TRUMP,"Well, I'll ask Joe. The individual mandate was the most unpopular aspect of Obamacare.",True,"[{""start"": 24, ""end"": 85, ""text"": ""individual mandate was the most unpopular aspect of Obamacare"", ""reason_text"": """", ""reason_choices"": [""ranking"", ""political"", ""medical""]}]",
20200929_trump_biden,WALLACE,Mr. President.,False,[],
20200929_trump_biden,TRUMP,I got rid of it. And we will protect people.,False,[],
20200929_trump_biden,WALLACE,"Mr. President, I'm the moderator of this debate and I would like you to let me ask my question and then you can answer.",False,[],
20200929_trump_biden,TRUMP,Go ahead.,False,[],
20200929_trump_biden,WALLACE,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?",False,[],
20200929_trump_biden,TRUMP,"Well, first of all, I guess I'm debating you, not him, but that's okay. I'm not surprised. Let me just tell you something. There's nothing symbolic. I'm cutting drug prices. I'm going with Favored Nations, which no President has the courage to do because you're going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47 year period in government, but you didn't do it. Nobody's done it. So we're cutting healthcare.",False,[],
20200929_trump_biden,WALLACE,What about pre-existing conditions?,False,[],
20200929_trump_biden,TRUMP,All of the things that we've done.,False,[],
20200929_trump_biden,BIDEN,He has not done healthcare.,False,[],
20200929_trump_biden,TRUMP,"I'll give you an example. Insulin, it was destroying families, destroying people, the cost. I'm getting it for so cheap it's like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we're doing. Prescription drug prices, we're going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do.",True,"[{""start"": 92, ""end"": 119, ""text"": ""I'm getting it for so cheap"", ""reason_text"": """", ""reason_choices"": [""economic""]}, {""start"": 346, ""end"": 390, ""text"": ""they paid just a tiny fraction of what we do"", ""reason_text"": """", ""reason_choices"": [""comparative/temporal""]}]",
20200929_trump_biden,WALLACE,"Okay, like I say, this is open discussion.",False,[],
20200929_trump_biden,TRUMP,This is big stuff.,False,[],
20200929_trump_biden,WALLACE,"Sir, you'll be happy. I'm about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare.",False,[],
20200929_trump_biden,BIDEN,Yes.,False,[],
20200929_trump_biden,WALLACE,And the argument that he makes and other Republicans make is that that is going to end private insurance.,False,[],
20200929_trump_biden,BIDEN,It is not.,False,[],
20200929_trump_biden,WALLACE,If I start asking the question.,False,[],
20200929_trump_biden,TRUMP,"That's not what your party says, by the way.",False,[],
20200929_trump_biden,WALLACE,And it will end private insurance and create a government takeover of health.,False,[],
20200929_trump_biden,BIDEN,"It does not. It's only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two.",False,[],
20200929_trump_biden,TRUMP,"Joe, you agreed with Bernie Sanders, who's far left, on the manifesto, we call it. And that gives you socialized medicine.",True,"[{""start"": 5, ""end"": 35, ""text"": ""you agreed with Bernie Sanders"", ""reason_text"": ""support relation"", ""reason_choices"": [""stance/support"", ""political""]}, {""start"": 21, ""end"": 51, ""text"": ""Bernie Sanders, who's far left"", ""reason_text"": ""ideology"", ""reason_choices"": [""stance/support"", ""political""]}]",
20200929_trump_biden,BIDEN,"Look, hey.",False,[],
20200929_trump_biden,TRUMP,Are you saying you didn't agree?,False,[],
20200929_trump_biden,BIDEN,I'm not going to listen to him. The fact of the matter is I beat Bernie Sanders.,False,[],
20200929_trump_biden,TRUMP,Not by much.,False,[],
20200929_trump_biden,BIDEN,I beat him by a whole hell of a lot.,False,[],
20200929_trump_biden,TRUMP,Not by much.,False,[],
20200929_trump_biden,BIDEN,"I'm here standing facing you, old buddy.",False,[],
20200929_trump_biden,TRUMP,If Pocahontas would have left two days early you would have lost every primary.,False,[],
20200929_trump_biden,BIDEN,All he knows how to do-,False,[],
20200929_trump_biden,TRUMP,"On Super Tuesday, you got very lucky.",False,[],
20200929_trump_biden,BIDEN,Look he's the deal. I got very lucky. I'm going to get very lucky tonight as well.,False,[],
20200929_trump_biden,TRUMP,With what?,False,[],
20200929_trump_biden,BIDEN,And tonight I'm going to make sure.,False,[],
20200929_trump_biden,TRUMP,With what?,False,[],
20200929_trump_biden,BIDEN,"Because here's the deal, here's the deal. The fact is that everything he's saying so far is simply a lie. I'm not here to call out his lies. Everybody knows he's a liar.",False,[],
20200929_trump_biden,TRUMP,"But you agree. Joe, you're the liar. You graduated last in your class not first in your class.",False,[],
20200929_trump_biden,BIDEN,"God, I want to make sure-",False,[],
20200929_trump_biden,WALLACE,"Mr. President, can you let him finish, sir?",False,[],
20200929_trump_biden,BIDEN,"No, he doesn't know how to do that.",False,[],
20200929_trump_biden,TRUMP,"You'd be surprised. You'd be surprised. Go ahead, Joe.",False,[],
20200929_trump_biden,BIDEN,"The wrong guy, the wrong night, at the wrong time.",False,[],
20200929_trump_biden,TRUMP,"Listen, you agreed with Bernie Sanders and the manifesto.",True,"[{""start"": 8, ""end"": 56, ""text"": ""you agreed with Bernie Sanders and the manifesto"", ""reason_text"": ""support"", ""reason_choices"": [""stance/support"", ""political""]}]",
20200929_trump_biden,BIDEN,"There is no manifesto, number one.",False,[],
20200929_trump_biden,WALLACE,"Please let him speak, Mr. President.",False,[],
20200929_trump_biden,BIDEN,Number two.,False,[],
20200929_trump_biden,TRUMP,He just lost the left.,False,[],
20200929_trump_biden,BIDEN,Number two.,False,[],
20200929_trump_biden,TRUMP,"You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk], they call it socialized medicine.",True,"[{""start"": 24, ""end"": 54, ""text"": ""You agreed with Bernie Sanders"", ""reason_text"": ""support"", ""reason_choices"": [""stance/support"", ""political""]}]",
20200929_trump_biden,WALLACE,Mr. President.,False,[],
20200929_trump_biden,BIDEN,"I'll tell you what, he is not for any help for people needing healthcare.",False,[],
20200929_trump_biden,TRUMP,"Who is, Bernie?",False,[],
20200929_trump_biden,BIDEN,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won't ever look you in the eye and say that's what he wants to do. Take it away.",True,"[{""start"": 21, ""end"": 73, ""text"": ""already has costs 10 million people their healthcare"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""medical""]}, {""start"": 159, ""end"": 223, ""text"": ""there are 20 million people getting healthcare through Obamacare"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""medical""]}, {""start"": 233, ""end"": 257, ""text"": ""he wants to take it away"", ""reason_text"": """", ""reason_choices"": [""stance/support""]}]",
20200929_trump_biden,TRUMP,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good.",False,[],
20200929_trump_biden,BIDEN,He doesn't know how. He doesn't know how to do that.,False,[],
20200929_trump_biden,TRUMP,I've already fixed it.,False,[],
20200929_trump_biden,BIDEN,He has never offered a plan.,False,[],
20200929_trump_biden,TRUMP,"We've already fixed it to an extent. Obamacare, as you might know but probably don't, Obamacare is no good.",False,[],
20200929_trump_biden,WALLACE,"Gentlemen, you realize if you're both speaking at the same time. Let the President. Go ahead, sir.",False,[],
20200929_trump_biden,TRUMP,"Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed ... They shouldn't even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they'll probably blame him, but they'll blame me. But more importantly, I want to help people. Okay. I said, ""You've got to run it so well."" And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it's a disaster. It's too expensive. Premiums are too high, that it doesn't work. So we do want to get rid of it. Chris, we want to get rid of that and give something that's cheaper and better.",True,"[{""start"": 643, ""end"": 684, ""text"": ""It's too expensive. Premiums are too high"", ""reason_text"": """", ""reason_choices"": [""vague quantitative"", ""economic""]}]",
20200929_trump_biden,WALLACE,"I understand that, sir. But I have to give you roughly equal time.",False,[],
20200929_trump_biden,TRUMP,Go ahead.,False,[],
20200929_trump_biden,WALLACE,"Please let the Vice President talk, sir.",False,[],
20200929_trump_biden,TRUMP,Good.,False,[],
20200929_trump_biden,BIDEN,He has no plan for healthcare.,False,[],
20200929_trump_biden,TRUMP,"Of course, we do.",False,[],
20200929_trump_biden,WALLACE,Please.,False,[],
20200929_trump_biden,BIDEN,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn't lowered drug costs for anybody. He's been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn't have a plan. And the fact is this man doesn't know what he's talking about. [crosstalk].",True,"[{""start"": 75, ""end"": 115, ""text"": ""He hasn't lowered drug costs for anybody"", ""reason_text"": """", ""reason_choices"": [""comparative/temporal"", ""economic"", ""medical""]}]",
20200929_trump_biden,WALLACE,"All right, I have one final question for you.",False,[],
20200929_trump_biden,BIDEN,Sure.,False,[],
20200929_trump_biden,WALLACE,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn't brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?",True,"[{""start"": 329, ""end"": 439, ""text"": ""it wasn't brought up by the President. It was brought up by some of your Democratic colleagues in the Congress"", ""reason_text"": """", ""reason_choices"": [""stance/support"", ""political""]}]",
20200929_trump_biden,BIDEN,"Whatever position I take on that, that'll become the issue. The issue is the American people should speak. You should go out and vote. You're voting now. Vote and let your Senators know strongly how you feel.",False,[],
20200929_trump_biden,TRUMP,Are you going to pack the court?,False,[],
20200929_trump_biden,BIDEN,Vote now.,False,[],
20200929_trump_biden,TRUMP,Are you going to pack the court?,False,[],
20200929_trump_biden,BIDEN,"Make sure you, in fact, let people know, your Senators.",False,[],
20200929_trump_biden,TRUMP,He doesn't want to answer the question.,False,[],
20200929_trump_biden,BIDEN,I'm not going to answer the question.,False,[],
20200929_trump_biden,TRUMP,Why wouldn't you answer that question? You want to put a lot of new Supreme Court Justices. Radical left.,False,[],
20200929_trump_biden,BIDEN,"Will you shut up, man?",False,[],
20200929_trump_biden,TRUMP,"Listen, who is on your list, Joe? Who's on your list?",False,[],
20200929_trump_biden,WALLACE,"Gentlemen, I think we've ended this-",False,[],
20200929_trump_biden,BIDEN,This is so un-Presidential.,False,[],
20200929_trump_biden,TRUMP,He's going to pack the court. He is not going to give a list.,False,[],
20200929_trump_biden,WALLACE,We have ended the segment. We're going to move on to the second segment.,False,[],
20200929_trump_biden,BIDEN,"That was really a productive segment, wasn't it? Keep yapping, man.",False,[],
20200929_trump_biden,TRUMP,"The people understand, Joe.",False,[],
20200929_trump_biden,BIDEN,They sure do.,False,[],
20200929_trump_biden,TRUMP,"47 years, you've done nothing. They're understand.",False,[],
20200929_trump_biden,WALLACE,"All right, the second subject is COVID-19, which is an awfully serious subject. So let's try to be serious about it. We have had more than seven million cases of coronavirus in the United States and more than 200,000 people have died. Even after we produce a vaccine, experts say that it could be months or even years before we come back to anything approaching normal. My question for both of you is, based on what you have said and done so far, and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward? In this case, the question goes to you first, sir. Two minutes, uninterrupted.",True,"[{""start"": 129, ""end"": 194, ""text"": ""more than seven million cases of coronavirus in the United States"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""medical""]}, {""start"": 199, ""end"": 233, ""text"": ""more than 200,000 people have died"", ""reason_text"": """", ""reason_choices"": [""numerical absolute""]}]",
20200929_trump_biden,BIDEN,"Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world's population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, ""It is what it is."" Well, it is what it is because you are who you are. That's why it is. The President has no plan. He hasn't laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He's on tape as acknowledging he knew it. He said he didn't tell us or give people a warning of it because he didn't want to panic the American people. You don't panic. He panicked. In addition to that, what did he do?",True,"[{""start"": 11, ""end"": 23, ""text"": ""200,000 dead"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""medical""]}, {""start"": 38, ""end"": 86, ""text"": ""over seven million infected in the United States"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""medical""]}, {""start"": 106, ""end"": 153, ""text"": ""4% of the world's population, 20% of the deaths"", ""reason_text"": """", ""reason_choices"": [""statistical"", ""medical""]}, {""start"": 155, ""end"": 196, ""text"": ""40,000 people a day are contracting COVID"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""medical""]}, {""start"": 219, ""end"": 268, ""text"": ""about between 750 and 1000 people a day are dying"", ""reason_text"": """", ""reason_choices"": [""numerical absolute"", ""medical""]}, {""start"": 580, ""end"": 620, ""text"": ""He's on tape as acknowledging he knew it"", ""reason_text"": """", ""reason_choices"": [""epistemic""]}]",
20200929_trump_biden,BIDEN,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.,False,[],
20200929_trump_biden,TRUMP,Wrong.,False,[],
20200929_trump_biden,BIDEN,He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn't have a plan.,False,[],
20200929_trump_biden,TRUMP,Wrong.,False,[],
20200929_trump_biden,WALLACE,"Sir, it's his two minutes.",False,[],
20200929_trump_biden,TRUMP,It's so wrong.,False,[],
20200929_trump_biden,BIDEN,"I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives.",False,[],
20200929_trump_biden,TRUMP,"So, if we would have listened to you.",False,[],
20200929_trump_biden,WALLACE,"Wait, wait. You have two minutes, sir.",False,[],
20200929_trump_biden,TRUMP,"If we would've listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It's China's fault. It should have never happened. They stopped it from going in, but it was China's fault. And, by the way, when you talk about numbers, you don't know how many people died in China. You don't know how many people died in Russia. You don't know how many people died in India. They don't exactly give you a straight count, just so you understand. But if you look at what we've done, I closed it and you said, ""He's xenophobic. He's a racist and he's xenophobic,"" because you didn't think I should have closed our country. Wait a minute.",True,"[{""start"": 311, ""end"": 351, ""text"": ""don't know how many people died in China"", ""reason_text"": """", ""reason_choices"": [""conspiratorial""]}, {""start"": 357, ""end"": 398, ""text"": ""don't know how many people died in Russia"", ""reason_text"": """", ""reason_choices"": [""conspiratorial""]}, {""start"": 404, ""end"": 444, ""text"": ""don't know how many people died in India"", ""reason_text"": """", ""reason_choices"": [""conspiratorial""]}, {""start"": 446, ""end"": 490, ""text"": ""They don't exactly give you a straight count"", ""reason_text"": """", ""reason_choices"": [""conspiratorial""]}]",
20200929_trump_biden,WALLACE,"Sir, it's his two minutes.",False,[],
20200929_trump_biden,TRUMP,"You didn't think we should have closed our country because you thought it was terrible. You wouldn't have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, ""President Trump saved thousands of lives."" Many of your Democrat Governors said, ""President Trump did a phenomenal job."" We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, ""President Trump did a phenomenal job."" We did. We got the gowns. We got the masks. We made the ventilators. You wouldn't have made ventilators. And now we're weeks away from a vaccine. We're doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We've done a great job.",True,"[{""start"": 548, ""end"": 607, ""text"": ""We got the gowns. We got the masks. We made the ventilators"", ""reason_text"": """", ""reason_choices"": [""medical""]}, {""start"": 720, ""end"": 761, ""text"": ""Fewer people are dying when they get sick"", ""reason_text"": """", ""reason_choices"": [""comparative/temporal"", ""medical""]}]",
20200929_trump_biden,TRUMP,"The only thing I haven't done a good job, and that's because of the fake news, no matter what you say to them, they give you a bad press on it. It's just fake news. They give you good press, they give me bad press because that's the way it is, unfortunately. But let me just say something. I don't care. I've gotten used to it. But I'll tell you, Joe, you could never have done the job that we did. You don't have it in your blood. You could've never done that, Joe.",False,[],
20200929_trump_biden,BIDEN,I know how to do the job. I know how to get the job done.,False,[],
20200929_trump_biden,TRUMP,"Well, you didn't do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster.",False,[],
